naics_code,earnings_seasonal_amplitude,peak_quarter_earnings,peak_excess_earnings,trough_quarter_earnings,trough_excess_earnings,n_earnings_excess_obs,earnings_seasonal_index,sector_2d,sector_label,idio_earnings_seasonal_amplitude,idio_peak_quarter_earnings,idio_peak_excess_earnings,idio_trough_quarter_earnings,idio_trough_excess_earnings,idio_n_earnings_excess_obs,idio_earnings_seasonal_index
532210,0.09778518868886443,4,0.06060752974520687,3,-0.037177658943657564,23,0.17649387336721517,53,Real estate,0.045215321461073245,1,0.020627876338981374,4,-0.02458744512209187,23,0.08114367810152043
339112,0.09753017782712244,1,0.04809265786959493,2,-0.04943751995752751,23,0.17603360064756265,33,Manufacturing - metals/machinery,0.1298076124387042,1,0.07941676400846398,4,-0.050390848430240234,23,0.23295349404783633
562112,0.09708021524315519,4,0.05736791121122997,3,-0.03971230403192522,23,0.17522145680063114,56,Administrative & waste services,0.03625261506819932,3,0.008425551412130555,4,-0.027827063656068768,24,0.06505915323337548
337910,0.09704234326679767,1,0.042409469559571214,2,-0.05463287370722645,23,0.17515310113359164,33,Manufacturing - metals/machinery,0.13108491422285073,1,0.07373357569844027,4,-0.05735133852441045,23,0.23524574723684694
314110,0.09695699584766637,4,0.05726568854170686,3,-0.03969130730595951,23,0.1749990563668294,31,Manufacturing - food/textiles,0.07573140228176967,1,0.047802115956177796,4,-0.027929286325591877,23,0.13590801370767927
722513,0.09678497238132097,4,0.04392578531130186,1,-0.05285918707001911,23,0.17468856877364228,72,Accommodation & food services,0.08751548295485792,3,0.04624629339886105,4,-0.04126918955599688,24,0.15705579322048527
323117,0.09642514888168452,4,0.05706182456754963,2,-0.03936332431413488,23,0.1740391182379231,32,Manufacturing - paper/chemicals,0.08218009799272073,1,0.04820726978408103,2,-0.0339728282086397,23,0.14748088042708463
327310,0.09637605848713537,1,0.055951173004759366,3,-0.040424885482376015,23,0.17395051428884578,32,Manufacturing - paper/chemicals,0.17863323195294573,1,0.08727527914362843,4,-0.09135795280931729,23,0.3205762339719967
561612,0.09632007279534999,4,0.048787779696760056,1,-0.047532293098589924,23,0.173849464920032,56,Administrative & waste services,0.07949112695507993,3,0.04308393178454125,4,-0.036407195170538684,24,0.14265523740936364
326220,0.09625312551219485,4,0.06403314006097884,1,-0.032219985451216016,23,0.17372863081955225,32,Manufacturing - paper/chemicals,0.03796567055029261,3,0.016803835743972706,4,-0.021161834806319904,24,0.06813341253569391
325193,0.09624228685907431,4,0.05566860367490487,3,-0.040573683184169436,23,0.17370906798087515,32,Manufacturing - paper/chemicals,0.051765603966270946,1,0.022239232773877078,4,-0.029526371192393867,23,0.0928988530709912
481112,0.09621113390012487,4,0.06272436493945364,3,-0.033486768960671216,23,0.17365283956361116,48,Transportation,0.03712169641122966,3,0.014651086483384562,4,-0.022470609927845095,24,0.06661881165145402
423450,0.09607340020764144,4,0.0571420095202671,3,-0.03893139068737433,23,0.17340424206939434,42,Wholesale trade,0.07864048004088679,1,0.0497838863764004,2,-0.028856593664486386,23,0.14112866152417916
621991,0.09580158329595617,4,0.052466166442188704,1,-0.04333541685376746,23,0.17291363587193953,62,Health care & social assistance,0.07445491234526005,3,0.04172610392015001,4,-0.032728808425110036,24,0.13361721746514588
524292,0.09536255146024111,4,0.04840069328215333,3,-0.04696185817808779,23,0.1721212210874938,52,Finance & insurance,0.11923172839132777,1,0.07835247455648764,2,-0.04087925383484013,23,0.21397395120596735
813930,0.09528181638682917,4,0.056888249429511664,1,-0.0383935669573175,23,0.17197550120890975,81,Other services,0.05672409835581013,3,0.028417372918023053,4,-0.028306725437787075,24,0.10179739585718713
212390,0.09482811892150873,4,0.06515140966856885,3,-0.02967670925293989,23,0.17115661622167436,21,"Mining, quarrying, oil & gas",0.04414400682118361,1,0.023574580126739672,2,-0.020569426694443935,23,0.07922109063613016
721199,0.0948080391280067,4,0.036460986831084306,3,-0.058347052296922386,23,0.1711203739177109,72,Accommodation & food services,0.08619170825373909,2,0.03745772021752465,4,-0.04873398803621443,24,0.1546801394651758
621492,0.094684503272778,4,0.05571346173810669,1,-0.0389710415346713,23,0.17089740230123818,62,Health care & social assistance,0.06244316114894753,3,0.032961648019755485,4,-0.029481513129192047,24,0.11206085911108098
481212,0.09465091084865787,4,0.06366457170520456,2,-0.030986339143453303,23,0.17083677085870325,48,Transportation,0.05973155080836735,3,0.034135707770409224,2,-0.025595843037958123,24,0.10719458746901776
532420,0.09453711713896787,4,0.047747567893878504,2,-0.04678954924508936,23,0.17063138297882793,53,Real estate,0.10827660031740484,1,0.06687754717781066,2,-0.041399053139594175,23,0.19431381483478977
325920,0.09453265712795635,4,0.04706667441641336,3,-0.04746598271154299,23,0.17062333304172358,32,Manufacturing - paper/chemicals,0.10254554856032463,1,0.06441724810943925,4,-0.03812830045088538,23,0.18402883611667914
339115,0.09407788104208042,4,0.045653278604533665,2,-0.04842460243754676,23,0.16980250123695595,33,Manufacturing - metals/machinery,0.10830302656559956,1,0.065268920233548,2,-0.043034106332051576,23,0.19436123953304807
111332,0.09395711372898946,2,0.059115499944492333,4,-0.03484161378449713,24,0.16958452660143733,11,"Agriculture, forestry, fishing",0.18454258470178336,2,0.06450599604998751,4,-0.12003658865179587,24,0.3311811926838978
336110,0.09392306618539803,4,0.044292828005767476,3,-0.04963023817963056,23,0.16952307370731642,33,Manufacturing - metals/machinery,0.07776636719559768,1,0.036864220334066417,4,-0.04090214686153126,23,0.1395599735429689
513140,0.09370100180588481,4,0.059318763515404084,3,-0.034382238290480725,23,0.1691222665605216,51,Information,0.05160768735612939,1,0.025731476004234734,4,-0.025876211351894655,23,0.09261545500665937
813311,0.09323278609681696,4,0.055885760734641333,1,-0.03734702536217563,23,0.16827717738932105,81,Other services,0.050301455081391375,3,0.02099224094873397,4,-0.029309214132657406,24,0.09027128299146295
519210,0.09292394927810231,4,0.05335585447035187,1,-0.03956809480775044,23,0.1677197534368369,51,Information,0.05787077888891157,3,0.026031658491964697,4,-0.03183912039694687,24,0.10385523539158847
221320,0.09288630981548127,4,0.05765524613700203,1,-0.035231063678479245,23,0.16765181743713672,22,Utilities,0.04530718694716666,3,0.017767458216869945,4,-0.02753972873029671,24,0.0813085404355994
493110,0.09172685203481101,4,0.05562478147609463,3,-0.03610207055871639,23,0.16555909565114754,49,Warehousing & couriers,0.0416059782765435,3,0.012035784885339386,4,-0.029570193391204112,24,0.07466632989167654
541214,0.09088251948494945,4,0.03607367770533483,2,-0.05480884177961462,23,0.16403514786178203,54,Professional & technical services,0.10078126183207825,1,0.051362916157958814,2,-0.049418345674119436,23,0.18086263692292004
311514,0.09073675315481411,4,0.052545985348417985,3,-0.038190767806396124,23,0.16377205214598842,31,Manufacturing - food/textiles,0.08859788095515861,1,0.05594889143627785,4,-0.032648989518880754,23,0.15899827094874255
513130,0.09069338290799774,4,0.04755522595479329,2,-0.04313815695320444,23,0.16369377257264864,51,Information,0.10038690653060509,1,0.06263924568289583,2,-0.03774766084770926,23,0.1801549246119965
622110,0.09035934457341291,4,0.051319895396323464,1,-0.03903944917708944,23,0.16309086204688797,62,Health care & social assistance,0.07800504743995432,3,0.04412996796897904,4,-0.033875079470975275,24,0.13998831049361826
624229,0.09021611044675565,4,0.05976976374995939,1,-0.03044634669679626,23,0.16283233674105105,62,Health care & social assistance,0.04673098729726156,3,0.021305776179922208,4,-0.02542521111733935,24,0.08386370080061852
