naics_code,sector_2d,sector_label,seasonal_index_early,peak_excess_early,peak_quarter_early,n_excess_obs_early,rank_early,seasonal_index_late,peak_excess_late,peak_quarter_late,n_excess_obs_late,rank_late,seasonal_index_delta,rank_delta,peak_quarter_changed
424720,42,Wholesale trade,0.03410667502853731,0.006471840950868419,3,11,756.0,0.03022784472670132,0.005090812057550264,4,12,824.0,-0.0038788303018359865,-68.0,True
561210,56,Administrative & waste services,0.08527773941475757,0.01881360983923226,4,10,388.0,0.08146191645266755,0.018874017493943764,4,12,348.0,-0.0038158229620900153,40.0,False
337212,33,Manufacturing - metals/machinery,0.045908529278270556,0.010188256449951865,3,11,628.0,0.04211854383394306,0.013780025883271404,3,13,625.0,-0.003789985444327494,3.0,False
444180,44,Retail trade - general,0.047679808460661575,0.012491821117127211,3,11,615.0,0.0439073752609048,0.010141246316969093,3,13,604.0,-0.0037724331997567723,11.0,False
622110,62,Health care & social assistance,0.023583044670332474,0.008580866089266037,3,11,871.0,0.019859622977629672,0.00456936355071207,3,13,953.0,-0.0037234216927028024,-82.0,False
311821,31,Manufacturing - food/textiles,0.05295505261975783,0.01638719546153904,4,10,561.0,0.04925336021997521,0.013164121761293666,4,12,544.0,-0.003701692399782623,17.0,False
323120,32,Manufacturing - paper/chemicals,0.03721878752047271,0.01351844516672201,3,11,710.0,0.03353148072711523,0.01064820464171845,3,13,765.0,-0.0036873067933574782,-55.0,False
624210,62,Health care & social assistance,0.10300757851771553,0.04193633040375317,3,11,323.0,0.09940491708037576,0.03789119135314117,3,13,302.0,-0.0036026614373397686,21.0,False
441227,44,Retail trade - general,0.09470865361517283,0.0203436687836859,3,11,348.0,0.09115200781448335,0.020419624090182855,3,13,314.0,-0.003556645800689484,34.0,False
321113,32,Manufacturing - paper/chemicals,0.043436249718532056,0.015220586095323209,3,11,651.0,0.039905076454968526,0.013569029586669204,3,13,659.0,-0.0035311732635635307,-8.0,False
524130,52,Finance & insurance,0.039003642997566035,0.012372858770112483,4,10,694.0,0.03548491634295132,0.00764753994956168,4,12,730.0,-0.0035187266546147164,-36.0,False
532283,53,Real estate,0.025611673627933224,0.005897531291720668,3,11,848.0,0.0221367360239696,0.0042964159228794,3,13,933.0,-0.003474937603963623,-85.0,False
339920,33,Manufacturing - metals/machinery,0.05249548422933631,0.01816271037556393,3,11,565.0,0.04905501413051314,0.0162656717104017,3,13,549.0,-0.003440470098823166,16.0,False
522110,52,Finance & insurance,0.025029705833844444,0.009295747270794085,3,11,857.0,0.021705927642297458,0.007336574139884285,3,13,937.0,-0.003323778191546986,-80.0,False
324122,32,Manufacturing - paper/chemicals,0.02013882217730822,0.008445897551147436,3,11,904.0,0.016821386269272966,0.005502281536098102,3,13,968.0,-0.003317435908035255,-64.0,False
623311,62,Health care & social assistance,0.05035894402253317,0.017221066855720134,3,11,587.0,0.047054272487636745,0.013754679129560533,3,13,572.0,-0.003304671534896428,15.0,False
522180,52,Finance & insurance,0.028145274122382775,0.011230391328897317,3,11,825.0,0.02488956278245737,0.007660151841517109,3,13,903.0,-0.003255711339925405,-78.0,False
334516,33,Manufacturing - metals/machinery,0.02077802987282424,0.00537971888214589,4,10,900.0,0.01762274105732926,0.005074615839293985,3,13,964.0,-0.0031552888154949797,-64.0,True
621111,62,Health care & social assistance,0.044633734586612406,0.011220253869241106,4,10,639.0,0.04148645894667261,0.01077493346428461,4,12,638.0,-0.0031472756399397936,1.0,False
311991,31,Manufacturing - food/textiles,0.07094067667452256,0.01862756637784304,3,11,447.0,0.06782220767601328,0.013084681993333014,2,13,404.0,-0.0031184689985092745,43.0,True
922110,92,Public administration,0.05433133835407356,0.01907458196976263,3,11,548.0,0.05124626175160018,0.010784992896241933,3,13,516.0,-0.0030850766024733828,32.0,False
112320,11,"Agriculture, forestry, fishing",0.055027367610959284,0.015464376961833894,3,11,542.0,0.052115399329389564,0.01809904166986005,3,13,507.0,-0.00291196828156972,35.0,False
331222,33,Manufacturing - metals/machinery,0.03853645039040151,0.006505346634492066,2,11,701.0,0.035648016362270586,0.009700320484308671,3,13,725.0,-0.0028884340281309234,-24.0,True
323111,32,Manufacturing - paper/chemicals,0.02143812042553847,0.0047017259072523665,3,11,896.0,0.018557611644227836,0.00475107011977921,4,12,961.0,-0.0028805087813106346,-65.0,True
541330,54,Professional & technical services,0.052465951342272166,0.016439947003647648,4,10,568.0,0.049607520781837444,0.012679658434593163,4,12,536.0,-0.0028584305604347215,32.0,False
335312,33,Manufacturing - metals/machinery,0.02945982391562147,0.012096175844254625,3,11,808.0,0.026779909101879225,0.009635467995958349,3,13,872.0,-0.0026799148137422457,-64.0,False
331492,33,Manufacturing - metals/machinery,0.03369596470398654,0.008009992196105369,4,10,761.0,0.03109552461159937,0.006546658013180111,2,13,812.0,-0.0026004400923871664,-51.0,True
311412,31,Manufacturing - food/textiles,0.033882171205008076,0.007436268605455387,2,11,757.0,0.03136615898577906,0.009488507910069213,3,13,806.0,-0.002516012219229015,-49.0,True
621610,62,Health care & social assistance,0.03911485524013624,0.008283333743665414,4,10,693.0,0.036658998530195934,0.009942394853308957,4,12,711.0,-0.0024558567099403072,-18.0,False
441222,44,Retail trade - general,0.197960457466867,0.047753071883475114,3,11,173.0,0.19554484123159324,0.043050854289638396,4,12,157.0,-0.0024156162352737542,16.0,True
