state_name,sector_label,peak_excess
Georgia,Education,0.055213652699614174
Georgia,Finance,0.029592631045334432
Georgia,Healthcare,0.02081518677259506
Georgia,Information,0.05092426144041031
Georgia,Management,0.02968708962015402
Georgia,Mfg-chem,0.017860936217411607
Georgia,Mfg-food,0.02835905158909539
Georgia,Mfg-metals,0.023767220900781292
Georgia,Mining,0.018818370552697052
Georgia,Other services,0.05245919505007433
Georgia,Prof services,0.03940060251709054
Georgia,Public admin,0.0458471158079975
Georgia,Real estate,0.0570837725350379
Georgia,Retail-gen,0.03546656800138361
Georgia,Retail-spec,0.03776051094282326
Georgia,Transportation,0.030075981584124327
Georgia,Utilities,0.02708276914665352
Georgia,Warehousing,0.07243508529771346
Georgia,Wholesale,0.02309932637580394
Hawaii,Accommodation/food,0.0397080409213076
Hawaii,Admin/waste,0.03571217673176669
Hawaii,Agriculture,0.05440381637444911
Hawaii,Arts/entertain,0.08094252737822072
Hawaii,Construction,0.03829311418280588
Hawaii,Education,0.07829254101814197
Hawaii,Finance,0.03678209336103626
Hawaii,Healthcare,0.026605656716718596
Hawaii,Information,0.034827421550956784
Hawaii,Management,0.050146729233436556
Hawaii,Mfg-chem,0.02908264633623313
Hawaii,Mfg-food,0.03237797238438172
Hawaii,Mfg-metals,0.030934113182642935
Hawaii,Mining,0.01784117102334809
Hawaii,Other services,0.025812089305891576
Hawaii,Prof services,0.03651252340324964
Hawaii,Public admin,0.042838017695210444
Hawaii,Real estate,0.0440067450979703
Hawaii,Retail-gen,0.028392069909717845
Hawaii,Retail-spec,0.024314613083376124
Hawaii,Transportation,0.022874501702574074
Hawaii,Utilities,0.0262680309418408
Hawaii,Warehousing,0.016369248895001725
Hawaii,Wholesale,0.02243998619698214
Idaho,Accommodation/food,0.13183462995790943
Idaho,Admin/waste,0.061398354925284136
Idaho,Agriculture,0.21462991646827773
Idaho,Arts/entertain,0.19424028234845175
Idaho,Construction,0.10563781531360432
Idaho,Education,0.1191067362129473
Idaho,Finance,0.0315938303254772
Idaho,Healthcare,0.03298330068568471
Idaho,Information,0.06057021582901771
Idaho,Management,0.038248365352784794
Idaho,Mfg-chem,0.037341639197724624
Idaho,Mfg-food,0.060336254023927074
Idaho,Mfg-metals,0.030165757825777042
Idaho,Mining,0.05229052023783458
Idaho,Other services,0.06762182142337546
Idaho,Prof services,0.06095363990469546
Idaho,Public admin,0.04904594857344802
Idaho,Real estate,0.08529465925633099
Idaho,Retail-gen,0.050508780983483846
Idaho,Retail-spec,0.04858627551556539
Idaho,Transportation,0.08331375041144523
Idaho,Utilities,0.03984009709168054
Idaho,Warehousing,0.04277727881635392
Idaho,Wholesale,0.03362053652382166
Illinois,Accommodation/food,0.10629841799910421
Illinois,Admin/waste,0.05936539089646012
Illinois,Agriculture,0.1668529207723463
Illinois,Arts/entertain,0.16518357681104276
Illinois,Construction,0.153233209807917
Illinois,Education,0.09888260258227606
Illinois,Finance,0.021510291715055762
Illinois,Healthcare,0.028664252643870063
Illinois,Information,0.06660908577479871
Illinois,Management,0.01447762720972214
Illinois,Mfg-chem,0.025895546280384957
Illinois,Mfg-food,0.03539012083286985
Illinois,Mfg-metals,0.016618819695992354
Illinois,Mining,0.05588045062093707
Illinois,Other services,0.06184176171749359
Illinois,Prof services,0.06047580617772021
Illinois,Public admin,0.05344607752889553
Illinois,Real estate,0.06881581176690547
Illinois,Retail-gen,0.05000507123367694
Illinois,Retail-spec,0.041721750379625694
Illinois,Transportation,0.05085541893502871
Illinois,Utilities,0.030401612706810143
Illinois,Warehousing,0.04696337517923262
Illinois,Wholesale,0.02066629026688761
Indiana,Accommodation/food,0.11642087688929653
Indiana,Admin/waste,0.04160466152566824
Indiana,Agriculture,0.12988809406242663
Indiana,Arts/entertain,0.16010954840922395
Indiana,Construction,0.09347942802992076
Indiana,Education,0.08744385704377766
Indiana,Finance,0.02762288023652232
Indiana,Healthcare,0.025122723517627822
Indiana,Information,0.04412163701890921
Indiana,Management,0.026446396910254046
Indiana,Mfg-chem,0.026625212097411713
Indiana,Mfg-food,0.047956508946257484
Indiana,Mfg-metals,0.022097316794747326
Indiana,Mining,0.0502158198914228
Indiana,Other services,0.04865141467253085
Indiana,Prof services,0.0566055241912299
Indiana,Public admin,0.0502459897058886
Indiana,Real estate,0.04841686334939288
Indiana,Retail-gen,0.037789901718981375
Indiana,Retail-spec,0.046795548386595935
Indiana,Transportation,0.066322767058398
Indiana,Utilities,0.012295266250183427
Indiana,Warehousing,0.02614499366706725
Indiana,Wholesale,0.029005962308581525
Iowa,Accommodation/food,0.11992470160821171
Iowa,Admin/waste,0.055625292129334585
Iowa,Agriculture,0.1575503315701763
Iowa,Arts/entertain,0.18550293900035625
Iowa,Construction,0.15865669239998856
Iowa,Education,0.1036914980760135
Iowa,Finance,0.02813903216548343
Iowa,Healthcare,0.03166427232033495
Iowa,Information,0.03459119119700374
Iowa,Management,0.023920914441612883
Iowa,Mfg-chem,0.04209645422852293
Iowa,Mfg-food,0.03952678176112251
Iowa,Mfg-metals,0.022140412488908037
Iowa,Mining,0.0945049448993682
Iowa,Other services,0.05969098016264245
Iowa,Prof services,0.07443228350464798
Iowa,Public admin,0.08334403395841349
Iowa,Real estate,0.054901123830700185
Iowa,Retail-gen,0.04336936578676159
Iowa,Retail-spec,0.04812213781272788
Iowa,Transportation,0.054233954653078835
Iowa,Utilities,0.017413002867026975
Iowa,Warehousing,0.08651411050850931
Iowa,Wholesale,0.027788367573958014
Kansas,Accommodation/food,0.13058755695507604
Kansas,Admin/waste,0.04597243101325332
Kansas,Agriculture,0.13467217352651095
Kansas,Arts/entertain,0.18399186870265077
Kansas,Construction,0.062306902712591684
Kansas,Education,0.09708112082881336
Kansas,Finance,0.03403375341089285
Kansas,Healthcare,0.03558387629730876
Kansas,Information,0.030927097361875665
Kansas,Management,0.027083130524307022
Kansas,Mfg-chem,0.027946392709058077
Kansas,Mfg-food,0.044982034163352114
Kansas,Mfg-metals,0.026676478836265338
Kansas,Mining,0.030100371768129828
Kansas,Other services,0.04224262602371681
Kansas,Prof services,0.04783802206246671
Kansas,Public admin,0.062166941146261
Kansas,Real estate,0.05047737870365785
Kansas,Retail-gen,0.04517712131135838
Kansas,Retail-spec,0.04221525033476971
Kansas,Transportation,0.04410745791652494
Kansas,Utilities,0.03976320188042401
Kansas,Warehousing,0.03793256999433057
Kansas,Wholesale,0.029487656008785074
Kentucky,Accommodation/food,0.13370284374598904
Kentucky,Admin/waste,0.044160186636015696
Kentucky,Agriculture,0.09840651807739141
Kentucky,Arts/entertain,0.16224984069091833
Kentucky,Construction,0.07880581632949298
Kentucky,Education,0.06401430902112307
Kentucky,Finance,0.03126961190049322
Kentucky,Healthcare,0.02087698873877434
Kentucky,Information,0.040134370255795256
Kentucky,Management,0.02289453001740295
Kentucky,Mfg-chem,0.02280354921151516
Kentucky,Mfg-food,0.032084935999788095
Kentucky,Mfg-metals,0.024726241251636097
Kentucky,Mining,0.03195258161891926
Kentucky,Other services,0.05020837486810548
Kentucky,Prof services,0.04224404635005325
Kentucky,Public admin,0.0354641937354018
Kentucky,Real estate,0.06644137181804367
Kentucky,Retail-gen,0.04404513356111202
Kentucky,Retail-spec,0.0442654738435972
Kentucky,Transportation,0.04684326455270863
